id,project_id,production_sheet_id,video_type,element_name,description,generation_status,generation_model,model_parameters,prompt_used,custom_prompt,reference_image_url,reference_video_url,result_video_url,storage_video_url,thumbnail_url,duration_seconds,fps,resolution,request_id,metadata,tags,is_favorite,style_id,created_at,updated_at,completed_at,created_by,negative_prompt,aspect_ratio,person_generation,camera_movement,mode,prompt_optimizer,model_version,api_request,api_response,credits_used,video_url,linked_scene_id,linked_scene_number
061d00b8-e49a-4e4e-8832-3f1bab728485,4e3a9b40-cef2-4579-953b-86040c9b10ee,,scene,"No image break, no image shape change. Natural movement. No excessive movement. Keep background. Silence. Deep thinking character.",,completed,hailou02-standard,,"No image break, no image shape change. Natural movement. No excessive movement. Keep background. Silence. Deep thinking character.","No image break, no image shape change. Natural movement. No excessive movement. Keep background. Silence. Deep thinking character.",https://v3.fal.media/files/panda/vVsba_qSpFPTZIuqrzhfL_fa4e96bc50e847aaab3bbb06e666f1b4.png,,https://v3.fal.media/files/lion/kqgLL0cA5FQfu2anwme1I_output.mp4,https://v3.fal.media/files/lion/kqgLL0cA5FQfu2anwme1I_output.mp4,,6.00,,768p,,,,false,,2025-08-09 14:26:09.270586+00,2025-08-09 15:00:26.613+00,2025-08-09 14:36:35.859+00,4a321b3e-e3bd-4368-bd4e-d9cbefc1e79f,,,,,,true,hailou02-standard,,,,,,
1b034b05-0d26-4290-830a-63088230d98b,4e3a9b40-cef2-4579-953b-86040c9b10ee,,scene,"No image break, no image shape change. Natural movement. No excessive movement. Keep background. Minimal Animation, natural rigging. **important: Don't talk. Closed mouth. Silence",,completed,seedance-v1-pro,,"No image break, no image shape change. Natural movement. No excessive movement. Keep background. Minimal Animation, natural rigging. **important: Don't talk. Closed mouth. Silence","No image break, no image shape change. Natural movement. No excessive movement. Keep background. Minimal Animation, natural rigging. **important: Don't talk. Closed mouth. Silence",https://v3.fal.media/files/panda/vVsba_qSpFPTZIuqrzhfL_fa4e96bc50e847aaab3bbb06e666f1b4.png,,https://v3.fal.media/files/elephant/RJQMBEWCT-h6am3HA_3qS_video.mp4,https://v3.fal.media/files/elephant/RJQMBEWCT-h6am3HA_3qS_video.mp4,,5.00,,720p,,,,false,,2025-08-09 14:26:09.270586+00,2025-08-09 15:00:26.613+00,2025-08-09 14:36:35.859+00,4a321b3e-e3bd-4368-bd4e-d9cbefc1e79f,,,,fixed,,,seedance-v1-pro,,,,,,
21f462bb-4e42-418c-95a8-4a6fe1c891b3,4e3a9b40-cef2-4579-953b-86040c9b10ee,,scene,"Slow-moving drone shot, aerial shot.",,completed,hailou02-pro,"{""prompt_optimizer"":true}","Slow-moving drone shot, aerial shot.","Slow-moving drone shot, aerial shot.",https://kqlqkuikfipsmskewvye.supabase.co/storage/v1/object/public/ref-images/4a321b3e-e3bd-4368-bd4e-d9cbefc1e79f/scenes/4e3a9b40-cef2-4579-953b-86040c9b10ee/scene-1754640178170-z3c60pfpnsd.jpg,,https://v3.fal.media/files/lion/GR1fiCHsnEWkiWzrZFMJl_output.mp4,https://kqlqkuikfipsmskewvye.supabase.co/storage/v1/object/public/gen-videos/4e3a9b40-cef2-4579-953b-86040c9b10ee/scene/1754886285334-151xrqv.mp4,,10.00,,,110248c3-651d-45cb-899c-761605f6583d,"{""isPro"":true,""model"":""hailou02-pro"",""userId"":""4a321b3e-e3bd-4368-bd4e-d9cbefc1e79f"",""startedAt"":""2025-08-11T04:20:08.563Z"",""status_url"":""https://queue.fal.run/fal-ai/minimax/requests/110248c3-651d-45cb-899c-761605f6583d/status"",""creditsCost"":1800,""modelParams"":{""prompt_optimizer"":true},""fal_response"":{""logs"":null,""status"":""IN_QUEUE"",""metrics"":{},""cancel_url"":""https://queue.fal.run/fal-ai/minimax/requests/110248c3-651d-45cb-899c-761605f6583d/cancel"",""request_id"":""110248c3-651d-45cb-899c-761605f6583d"",""status_url"":""https://queue.fal.run/fal-ai/minimax/requests/110248c3-651d-45cb-899c-761605f6583d/status"",""response_url"":""https://queue.fal.run/fal-ai/minimax/requests/110248c3-651d-45cb-899c-761605f6583d"",""queue_position"":0},""prompt_optimizer"":true,""completed_response"":{""logs"":null,""status"":""COMPLETED"",""metrics"":{""inference_time"":201.62186217308044},""cancel_url"":""https://queue.fal.run/fal-ai/minimax/requests/110248c3-651d-45cb-899c-761605f6583d/cancel"",""request_id"":""110248c3-651d-45cb-899c-761605f6583d"",""status_url"":""https://queue.fal.run/fal-ai/minimax/requests/110248c3-651d-45cb-899c-761605f6583d/status"",""response_url"":""https://queue.fal.run/fal-ai/minimax/requests/110248c3-651d-45cb-899c-761605f6583d""}}",,false,,2025-08-11 04:20:09.774508+00,2025-08-11 04:24:46.775+00,2025-08-11 04:24:46.775+00,4a321b3e-e3bd-4368-bd4e-d9cbefc1e79f,,,,,,true,hailou-02-pro,"{""model"":""hailou02-pro"",""prompt"":""Slow-moving drone shot, aerial shot."",""parameters"":{""prompt_optimizer"":true},""referenceImageUrl"":""https://kqlqkuikfipsmskewvye.supabase.co/storage/v1/object/public/ref-images/4a321b3e-e3bd-4368-bd4e-d9cbefc1e79f/scenes/4e3a9b40-cef2-4579-953b-86040c9b10ee/scene-1754640178170-z3c60pfpnsd.jpg""}","{""logs"":null,""status"":""IN_QUEUE"",""metrics"":{},""cancel_url"":""https://queue.fal.run/fal-ai/minimax/requests/110248c3-651d-45cb-899c-761605f6583d/cancel"",""request_id"":""110248c3-651d-45cb-899c-761605f6583d"",""status_url"":""https://queue.fal.run/fal-ai/minimax/requests/110248c3-651d-45cb-899c-761605f6583d/status"",""response_url"":""https://queue.fal.run/fal-ai/minimax/requests/110248c3-651d-45cb-899c-761605f6583d"",""queue_position"":0}",1800,,,
296e4292-baca-4d88-aaad-c66f537acf1f,4e3a9b40-cef2-4579-953b-86040c9b10ee,,scene,"No image break, no image shape change. Natural movement. No excessive movement. Keep background. Minimal Animation, natural rigging. **important: Don't talk. Closed mouth. Silence",,completed,seedance-v1-pro,,"No image break, no image shape change. Natural movement. No excessive movement. Keep background. Minimal Animation, natural rigging. **important: Don't talk. Closed mouth. Silence","No image break, no image shape change. Natural movement. No excessive movement. Keep background. Minimal Animation, natural rigging. **important: Don't talk. Closed mouth. Silence",https://v3.fal.media/files/panda/vVsba_qSpFPTZIuqrzhfL_fa4e96bc50e847aaab3bbb06e666f1b4.png,,https://v3.fal.media/files/elephant/RJQMBEWCT-h6am3HA_3qS_video.mp4,https://v3.fal.media/files/elephant/RJQMBEWCT-h6am3HA_3qS_video.mp4,,5.00,,720p,,,,false,,2025-08-09 14:26:09.270586+00,2025-08-09 15:00:26.613+00,2025-08-09 14:36:35.859+00,4a321b3e-e3bd-4368-bd4e-d9cbefc1e79f,,,,fixed,,,seedance-v1-pro,,,,,,
4791df5f-cb3c-4671-9112-8db19a8c783b,4e3a9b40-cef2-4579-953b-86040c9b10ee,,scene,"No image break, no image shape change. Natural movement. No excessive movement. Keep background. Minimal Animation, natural rigging. **important: Don't talk. Closed mouth. Humming. Silence",,completed,wan v2.2-a14b,,"No image break, no image shape change. Natural movement. No excessive movement. Keep background. Minimal Animation, natural rigging. **important: Don't talk. Closed mouth. Humming. Silence","No image break, no image shape change. Natural movement. No excessive movement. Keep background. Minimal Animation, natural rigging. **important: Don't talk. Closed mouth. Humming. Silence",https://v3.fal.media/files/panda/vVsba_qSpFPTZIuqrzhfL_fa4e96bc50e847aaab3bbb06e666f1b4.png,,https://v3.fal.media/files/koala/FYi1OgkLGsE-1XDM_6wrz_output.mp4,https://v3.fal.media/files/koala/FYi1OgkLGsE-1XDM_6wrz_output.mp4,,5.00,,,743a1aff-9e8e-447a-9337-83e74fe2a4de,,,false,,2025-08-09 14:26:09.270586+00,2025-08-09 15:00:26.613+00,2025-08-09 14:36:35.859+00,4a321b3e-e3bd-4368-bd4e-d9cbefc1e79f,,,,,,,wan v2.2-a14b,,,,,,
4c7b85c1-8bc4-4ad5-bea8-71d796eccf8f,4e3a9b40-cef2-4579-953b-86040c9b10ee,,scene,"Slow, forward-moving drone shot, aerial shot.",,completed,hailou02-pro,"{""prompt_optimizer"":true}","Slow, forward-moving drone shot, aerial shot.","Slow, forward-moving drone shot, aerial shot.",https://kqlqkuikfipsmskewvye.supabase.co/storage/v1/object/public/ref-images/4a321b3e-e3bd-4368-bd4e-d9cbefc1e79f/scenes/4e3a9b40-cef2-4579-953b-86040c9b10ee/scene-1754640178170-z3c60pfpnsd.jpg,,https://v3.fal.media/files/tiger/1WBXvYdpQntilHpERIbn3_output.mp4,https://kqlqkuikfipsmskewvye.supabase.co/storage/v1/object/public/gen-videos/4e3a9b40-cef2-4579-953b-86040c9b10ee/scene/1754886743355-1ae9rr9.mp4,,10.00,,,c1e135b9-5c95-44f7-a8d8-85efd702d717,"{""isPro"":true,""model"":""hailou02-pro"",""userId"":""4a321b3e-e3bd-4368-bd4e-d9cbefc1e79f"",""startedAt"":""2025-08-11T04:29:06.962Z"",""status_url"":""https://queue.fal.run/fal-ai/minimax/requests/c1e135b9-5c95-44f7-a8d8-85efd702d717/status"",""creditsCost"":1800,""modelParams"":{""prompt_optimizer"":true},""fal_response"":{""logs"":null,""status"":""IN_QUEUE"",""metrics"":{},""cancel_url"":""https://queue.fal.run/fal-ai/minimax/requests/c1e135b9-5c95-44f7-a8d8-85efd702d717/cancel"",""request_id"":""c1e135b9-5c95-44f7-a8d8-85efd702d717"",""status_url"":""https://queue.fal.run/fal-ai/minimax/requests/c1e135b9-5c95-44f7-a8d8-85efd702d717/status"",""response_url"":""https://queue.fal.run/fal-ai/minimax/requests/c1e135b9-5c95-44f7-a8d8-85efd702d717"",""queue_position"":0},""prompt_optimizer"":true,""completed_response"":{""logs"":null,""status"":""COMPLETED"",""metrics"":{""inference_time"":188.07669496536255},""cancel_url"":""https://queue.fal.run/fal-ai/minimax/requests/c1e135b9-5c95-44f7-a8d8-85efd702d717/cancel"",""request_id"":""c1e135b9-5c95-44f7-a8d8-85efd702d717"",""status_url"":""https://queue.fal.run/fal-ai/minimax/requests/c1e135b9-5c95-44f7-a8d8-85efd702d717/status"",""response_url"":""https://queue.fal.run/fal-ai/minimax/requests/c1e135b9-5c95-44f7-a8d8-85efd702d717""}}",,false,,2025-08-11 04:29:06.499278+00,2025-08-11 04:32:49.205+00,2025-08-11 04:32:24.969+00,4a321b3e-e3bd-4368-bd4e-d9cbefc1e79f,,,,,,true,hailou-02-pro,"{""model"":""hailou02-pro"",""prompt"":""Slow, forward-moving drone shot, aerial shot."",""parameters"":{""prompt_optimizer"":true},""referenceImageUrl"":""https://kqlqkuikfipsmskewvye.supabase.co/storage/v1/object/public/ref-images/4a321b3e-e3bd-4368-bd4e-d9cbefc1e79f/scenes/4e3a9b40-cef2-4579-953b-86040c9b10ee/scene-1754640178170-z3c60pfpnsd.jpg""}","{""logs"":null,""status"":""IN_QUEUE"",""metrics"":{},""cancel_url"":""https://queue.fal.run/fal-ai/minimax/requests/c1e135b9-5c95-44f7-a8d8-85efd702d717/cancel"",""request_id"":""c1e135b9-5c95-44f7-a8d8-85efd702d717"",""status_url"":""https://queue.fal.run/fal-ai/minimax/requests/c1e135b9-5c95-44f7-a8d8-85efd702d717/status"",""response_url"":""https://queue.fal.run/fal-ai/minimax/requests/c1e135b9-5c95-44f7-a8d8-85efd702d717"",""queue_position"":0}",1800,,2b0c7311-ebc3-4a18-abfb-33edc5478c1f,2
4dec8b3c-02f9-41bf-ac18-ec6502c09084,4e3a9b40-cef2-4579-953b-86040c9b10ee,,scene,"No image break, no image shape change. Natural movement. No excessive movement. Keep background. Minimal Animation, natural rigging. **important: Don't talk. Closed mouth. Humming. Silence",,completed,hailou02-standard,,"No image break, no image shape change. Natural movement. No excessive movement. Keep background. Minimal Animation, natural rigging. **important: Don't talk. Closed mouth. Humming. Silence","No image break, no image shape change. Natural movement. No excessive movement. Keep background. Minimal Animation, natural rigging. **important: Don't talk. Closed mouth. Humming. Silence",https://v3.fal.media/files/panda/vVsba_qSpFPTZIuqrzhfL_fa4e96bc50e847aaab3bbb06e666f1b4.png,,https://v3.fal.media/files/tiger/mJijq0EdUGP7ocKjJOCcD_output.mp4,https://v3.fal.media/files/tiger/mJijq0EdUGP7ocKjJOCcD_output.mp4,,5.00,,,,,,false,,2025-08-09 14:26:09.270586+00,2025-08-09 15:00:26.613+00,2025-08-09 14:36:35.859+00,4a321b3e-e3bd-4368-bd4e-d9cbefc1e79f,,,,,,true,hailou02-standard,,,,,,
4f4a3799-6b38-4c8a-ba7e-85a882420a92,4e3a9b40-cef2-4579-953b-86040c9b10ee,,scene,"No image break, no image shape change. Natural movement. No excessive movement. Keep background. Minimal Animation, natural rigging.",,completed,wan v2.2-a14b,,"No image break, no image shape change. Natural movement. No excessive movement. Keep background. Minimal Animation, natural rigging.","No image break, no image shape change. Natural movement. No excessive movement. Keep background. Minimal Animation, natural rigging.",https://v3.fal.media/files/panda/vVsba_qSpFPTZIuqrzhfL_fa4e96bc50e847aaab3bbb06e666f1b4.png,,https://v3.fal.media/files/rabbit/7CMWNxEvwwkVfNM9cM3oH_output.mp4,https://v3.fal.media/files/rabbit/7CMWNxEvwwkVfNM9cM3oH_output.mp4,,5.00,,,,,,false,,2025-08-09 14:26:09.270586+00,2025-08-09 15:00:26.613+00,2025-08-09 14:36:35.859+00,4a321b3e-e3bd-4368-bd4e-d9cbefc1e79f,,,,,,,wan v2.2-a14b,,,,,,
923458de-5b3c-4f54-9e5f-1958b6d38a4b,4e3a9b40-cef2-4579-953b-86040c9b10ee,,scene,Natural movement. No image distortion. No excessive movement. Keep the character in place and clench your fist.,,completed,seedance-v1-pro,,Natural movement. No image distortion. No excessive movement. Keep the character in place and clench your fist.,Natural movement. No image distortion. No excessive movement. Keep the character in place and clench your fist.,https://v3.fal.media/files/panda/vVsba_qSpFPTZIuqrzhfL_fa4e96bc50e847aaab3bbb06e666f1b4.png,,https://v3.fal.media/files/lion/fc1lxwvll86ROfcnScIhX_video.mp4,https://v3.fal.media/files/lion/fc1lxwvll86ROfcnScIhX_video.mp4,,5.00,,720p,,,,false,,2025-08-09 14:26:09.270586+00,2025-08-11 02:13:25.145+00,2025-08-09 14:36:35.859+00,4a321b3e-e3bd-4368-bd4e-d9cbefc1e79f,,,,fixed,,,seedance-v1-pro,,,,,17fbb8e9-b049-4bd7-b586-b6301546b714,11
a6c4a369-44c9-4626-ab29-43125395febe,4e3a9b40-cef2-4579-953b-86040c9b10ee,,scene,"Natural movement. No image distortion. No excessive movement. Silhouettes standing still, watching t",,completed,hailou02-pro,"{""prompt_optimizer"":true}","Natural movement. No image distortion. No excessive movement. Silhouettes standing still, watching the burning building.","Natural movement. No image distortion. No excessive movement. Silhouettes standing still, watching the burning building.",https://v3.fal.media/files/panda/vVsba_qSpFPTZIuqrzhfL_fa4e96bc50e847aaab3bbb06e666f1b4.png,,https://v3.fal.media/files/elephant/dTZ4sVRQ-k_Ve19hUp9z3_output.mp4,https://kqlqkuikfipsmskewvye.supabase.co/storage/v1/object/public/gen-videos/4e3a9b40-cef2-4579-953b-86040c9b10ee/scene/1754750195236-frckqrs.mp4,,5.00,,,12c46707-cb78-47c2-968f-4ac159025062,"{""isPro"":true,""model"":""hailou02-pro"",""userId"":""4a321b3e-e3bd-4368-bd4e-d9cbefc1e79f"",""startedAt"":""2025-08-09T14:26:10.243Z"",""status_url"":""https://queue.fal.run/fal-ai/minimax/requests/12c46707-cb78-47c2-968f-4ac159025062/status"",""creditsCost"":1800,""modelParams"":{""prompt_optimizer"":true},""fal_response"":{""logs"":null,""status"":""IN_QUEUE"",""metrics"":{},""cancel_url"":""https://queue.fal.run/fal-ai/minimax/requests/12c46707-cb78-47c2-968f-4ac159025062/cancel"",""request_id"":""12c46707-cb78-47c2-968f-4ac159025062"",""status_url"":""https://queue.fal.run/fal-ai/minimax/requests/12c46707-cb78-47c2-968f-4ac159025062/status"",""response_url"":""https://queue.fal.run/fal-ai/minimax/requests/12c46707-cb78-47c2-968f-4ac159025062"",""queue_position"":0},""prompt_optimizer"":true,""completed_response"":{""logs"":null,""status"":""COMPLETED"",""metrics"":{""inference_time"":192.40707898139954},""cancel_url"":""https://queue.fal.run/fal-ai/minimax/requests/12c46707-cb78-47c2-968f-4ac159025062/cancel"",""request_id"":""12c46707-cb78-47c2-968f-4ac159025062"",""status_url"":""https://queue.fal.run/fal-ai/minimax/requests/12c46707-cb78-47c2-968f-4ac159025062/status"",""response_url"":""https://queue.fal.run/fal-ai/minimax/requests/12c46707-cb78-47c2-968f-4ac159025062""}}",,false,,2025-08-09 14:26:09.270586+00,2025-08-09 15:00:26.613+00,2025-08-09 14:36:35.859+00,4a321b3e-e3bd-4368-bd4e-d9cbefc1e79f,,,,dynamic,,true,hailou02-pro,,,,,75e3e7d0-cb07-4e3f-b7e9-b4ddb6dbdfbf,5
